Title	Director	Release Year	Genre	IMDb Rating
Inception	Christopher Nolan	2010	Sci-Fi	8.8
The Matrix	Lana Wachowski, Lilly Wachowski	1999	Sci-Fi	8.7
Interstellar	Christopher Nolan	2014	Sci-Fi	8.6
The Godfather	Francis Ford Coppola	1972	Crime	9.2
The Dark Knight	Christopher Nolan	2008	Action	9.0
Pulp Fiction	Quentin Tarantino	1994	Crime	8.9
Fight Club	David Fincher	1999	Drama	8.8
Forrest Gump	Robert Zemeckis	1994	Drama	8.8
The Shawshank Redemption	Frank Darabont	1994	Drama	9.3
Gladiator	Ridley Scott	2000	Action	8.5
